video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/FogqyXjpFvk,/@HLDCards,HLD Cards & Collectibles,I've NEVER seen a binder like this 👀 | Pokemon Vendor POV #pokemon #wholesome,4.2K,4 hours,Be sure to subscribe if you enjoy this - There's a lot more to come! hldcards.myshopify.com #pokemontcg #pokemoncard ...,2026-01-21 18:55:37.885368
/watch?v=IkVgfHVd6Lw&pp=ygUHcG9rZW1vbg%3D%3D,/@OfficialPoke%CC%81monTV,Pokémon TV,"Going, Going, Yawn | POKÉMON FULL EPISODE 16 | Season 7",107K,3 days,Ash is battling for his fourth Hoenn region Gym badge! Can his Corphish defeat Flannery's team of Fire types? 00:00 Intro + ...,2026-01-21 18:55:37.887145
/watch?v=mbCKvlLx_Ew&list=RDmbCKvlLx_Ew&start_radio=1&pp=ygUHcG9rZW1vbqAHAQ%3D%3D,/@pokemonkidstv,Pokémon Kids TV,Pokémon Nursery Rhymes Collection ❘ Nursery Rhyme | Kids Song | Pokémon Kids TV,15M,4 years,A sing-along video featuring Pokémon. Let's sing it together! 00:00 London Bridge is Falling Down 02:36 Twinkle Twinkle Little ...,2026-01-21 18:55:46.525030
/shorts/2CoE5A3nCFw,/@oyamastrading,Oyama's Trading,"AI grading, future or flop? | Pokemon Vendor POV",23K,14 hours,pokemon #cardshow #vendor #buyer #pokemoncollector #pokemontcg.,2026-01-21 18:55:46.526332
/shorts/8xLK3q2Z1Kc,/@RealBreakingNate,RealBreakingNate,Find a CHARIZARD Pokemon Card in 7-Eleven! 😂,353K,3 months,Can I find a Charizard Pokemon card in a 7-Eleven? Subscribe to RealBreakingNate for more Pokemon openings. #pokemontcg.,2026-01-21 18:55:46.533601
/shorts/_NpdAEmG6VI,/@100charizards,100 Charizards,Is this Pokemon Card Worth it? Episode 1,7.9M,1 year,Disclaimer: This video is not made for kids. It may contain swearing. It is made for adult trading card collectors. Nothing in my ...,2026-01-21 18:55:46.536198
/shorts/Rbk2ccmT_EY,/@WolfeyVGC,WolfeyVGC,These Mega Pokemon SHOULDN'T Come Back,813K,9 months,Subscribe if you love these bad Pokémon.,2026-01-21 18:55:46.537457
/watch?v=2scUWMlt_u8&pp=ygUHcG9rZW1vbg%3D%3D,/@deeppocketmonster,Deep Pocket Monster,Complete Set in Time or Lose It All (RISKY Pokémon Card CHALLENGE),2.5M,2 years,"I'm attempting to complete the most expensive modern Pokémon card set right now, TeamUp! It's a HUGE modern set that won't ...",2026-01-21 18:55:46.538958
/shorts/UExTFRi5Rp8,/@CrazyCroconaw,CrazyCroconaw,Pokémon Legendary Battle!? #shorts #pokemon #anime #pokemonanime #animeshorts  #pokemonchannel,5.5M,9 months,... Angering the ghost Pokémon who then merged with Rayquaza creating a hybrid Pokémon who began chasing after our heroes ...,2026-01-21 18:55:46.540267
/shorts/bp08IwoVAp8,/@viz,Viz,what is pokemon sun moon even about,26K,19 hours,pokemon sun moon games had a special charm to them #pokemon #sun #moon #charm #shorts #lmao.,2026-01-21 18:55:46.542574
/watch?v=2EYN6v03umg&pp=ygUHcG9rZW1vbg%3D%3D,/@pokeballermike,PokeBaller Mike,An INSANE Walmart RESTOCK Of POKEMON & ONE PIECE! 😱,626,3 hours,POKEMON Card Hunting at Walmart for RARE Pokemon Cards & We HIT an INSANE Walmart RESTOCK of POKEMON & ONE ...,2026-01-21 18:55:46.544903
/watch?v=3fTYjOKTuqM&pp=ygUHcG9rZW1vbg%3D%3D,/@pokehex5555,PokeHEX,I Opened EVERY Elite Trainer Box from the Scarlet & Violet Era!,65K,2 months,"Today I am Opening up EVERY Scarlet & Violet ETB, from Scarlet & Violet Base, Paldea Evolved & 151 all the way to Destined ...",2026-01-21 18:55:46.546393
/shorts/Ue9rnDixyoA,/@AmauryGuichonChef,Amaury Guichon,Chocolate Pikachu! Gotta eat ‘em all!,5.3M,4 months,Which Pokémon should I do next? #amauryguichon #chocolate.,2026-01-21 18:55:46.548620
/watch?v=8zqQVU4S-GY&pp=ygUHcG9rZW1vbg%3D%3D,/@PokeRev,PokeRev,"Cautiously Opening Suspicious $5,000 Pokemon Box",284K,8 days,PokéRev Crystal 8.0 Packs In Stock Now! → https://thepokecave.com/pokerevpacks/p/pokrev-crystal-pack-80 HE'S BACK!!! In this ...,2026-01-21 18:55:46.550222
/shorts/f0zibaOskig,/@stardxstial,Stardxstial,This scene gets me every time… | Pokémon Edit,30M,2 years,footage from: Pokémon the Movie: I Choose You! tags: pokemon edit pokemon pikachu ash Ash x Pikachu edit ash and pikachu ...,2026-01-21 18:55:46.552748
/watch?v=6vS2fnu49pw&pp=ygUHcG9rZW1vbg%3D%3D,/@pokemon,The Official Pokémon YouTube channel,Pokémon TCG Pocket | Mega Evolution is coming this fall!,9.4M,5 months,"Get excited for the ever-fluffy Mega Altaria, the ghastly Mega Gyarados, and Mega Blaziken as they make their Pokémon TCG ...",2026-01-21 18:55:46.554004
/shorts/_VOgGJknmRw,/@pokedgeofficial,Pokedge,"Pulling ALL 1,025 Pokemon in the Pokédex! (Day 39) Vaporeon V Tin Pack Opening #pokemontcg",67K,2 days,"Saw this tin at my local card show and I heard they are supposed to come with Evolving Skies, so we are going to test that today!",2026-01-21 18:55:46.555200
/shorts/GceSe0F7v1M,/@Misterr_Jake,MR jake,Mew vs Legendary and mythical Pokemon|| #pokemon/#ash/#pikachu,5.6M,2 years,Mew vs Legendary and mythical comparison short || #pokemon/#ash/#pikachu Mew vs mew two comparison short ...,2026-01-21 18:55:46.558691
